Run Number, Run Name, Image Name, Scale Factor, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Screenshot Number, Propagate Time, Search Time
0, parallel-propagate, Skyline,1,1000,325467165,8,1,10,10,0, 00:00:05.4030294, 00:00:12.8881265
0, parallel-propagate, Flowers,1,1000,325467165,8,1,10,10,0, 00:00:03.4455388, 00:00:05.8626731
0, parallel-propagate, Platformer,1,1000,325467165,8,1,10,10,0, 00:00:02.2270768, 00:00:05.6400534
0, parallel-main, Skyline,1,1000,325467165,1,8,10,10,0, 00:00:06.8475652, 00:00:17.7540378
0, parallel-main, Flowers,1,1000,325467165,1,8,10,10,0, 00:00:05.6560547, 00:00:10.6689027
0, parallel-main, Platformer,1,1000,325467165,1,8,10,10,0, 00:00:03.6190423, 00:00:09.6445272
0, parallel-propagate, Skyline,1,1000,325467165,4,1,10,10,0, 00:00:05.8810221, 00:00:15.1067040
0, parallel-propagate, Flowers,1,1000,325467165,4,1,10,10,0, 00:00:03.2157802, 00:00:05.5637369
0, parallel-propagate, Platformer,1,1000,325467165,4,1,10,10,0, 00:00:02.2443066, 00:00:05.6693742
0, parallel-main, Skyline,1,1000,325467165,1,4,10,10,0, 00:00:04.9959652, 00:00:12.2022218
0, parallel-main, Flowers,1,1000,325467165,1,4,10,10,0, 00:00:04.6113335, 00:00:07.8813037
0, parallel-main, Platformer,1,1000,325467165,1,4,10,10,0, 00:00:02.3804187, 00:00:05.7740726
0, parallel-propagate, Skyline,1,1000,325467165,2,1,10,10,0, 00:00:05.2869581, 00:00:12.9201998
0, parallel-propagate, Flowers,1,1000,325467165,2,1,10,10,0, 00:00:03.4349247, 00:00:05.8532522
0, parallel-propagate, Platformer,1,1000,325467165,2,1,10,10,0, 00:00:02.1889525, 00:00:05.6395814
0, parallel-main, Skyline,1,1000,325467165,1,2,10,10,0, 00:00:04.5838113, 00:00:10.9695774
0, parallel-main, Flowers,1,1000,325467165,1,2,10,10,0, 00:00:03.5783271, 00:00:06.0744395
0, parallel-main, Platformer,1,1000,325467165,1,2,10,10,0, 00:00:02.1713482, 00:00:05.6133825
0, parallel-propagate, Skyline,1,1000,325467165,1,1,10,10,0, 00:00:05.3286494, 00:00:12.7956812
0, parallel-propagate, Flowers,1,1000,325467165,1,1,10,10,0, 00:00:03.4531324, 00:00:05.8593154
0, parallel-propagate, Platformer,1,1000,325467165,1,1,10,10,0, 00:00:02.1082566, 00:00:05.5210474
0, parallel-main, Skyline,1,1000,325467165,1,1,10,10,0, 00:00:05.3405215, 00:00:12.7734428
0, parallel-main, Flowers,1,1000,325467165,1,1,10,10,0, 00:00:03.4310737, 00:00:05.8161501
0, parallel-main, Platformer,1,1000,325467165,1,1,10,10,0, 00:00:02.1114781, 00:00:05.5473303
0, sequential-main, Skyline,1,1000,325467165,1,1,10,10,0, 00:00:05.2932943, 00:00:12.7221742
0, sequential-main, Flowers,1,1000,325467165,1,1,10,10,0, 00:00:03.4068626, 00:00:05.9661322
0, sequential-main, Platformer,1,1000,325467165,1,1,10,10,0, 00:00:02.1595038, 00:00:05.5928692
1, parallel-propagate, Skyline,1,1000,506683626,8,1,10,10,0, 00:00:05.6507195, 00:00:13.0719080
1, parallel-propagate, Flowers,1,1000,506683626,8,1,10,10,0, 00:00:37.0867706, 00:01:05.2208824
1, parallel-propagate, Platformer,1,1000,506683626,8,1,10,10,0, 00:00:03.4330073, 00:00:09.6367936
1, parallel-main, Skyline,1,1000,506683626,1,8,10,10,0, 00:00:07.3617272, 00:00:16.4135948
1, parallel-main, Flowers,1,1000,506683626,1,8,10,10,0, 00:00:07.3083655, 00:00:13.8370978
1, parallel-main, Platformer,1,1000,506683626,1,8,10,10,0, 00:00:04.0391863, 00:00:09.4646315
1, parallel-propagate, Skyline,1,1000,506683626,4,1,10,10,0, 00:00:05.6432454, 00:00:13.8867132
1, parallel-propagate, Flowers,1,1000,506683626,4,1,10,10,0, 00:00:36.1987738, 00:01:04.4662727
1, parallel-propagate, Platformer,1,1000,506683626,4,1,10,10,0, 00:00:03.4483481, 00:00:09.6242951
1, parallel-main, Skyline,1,1000,506683626,1,4,10,10,0, 00:00:06.0645000, 00:00:13.8021192
1, parallel-main, Flowers,1,1000,506683626,1,4,10,10,0, 00:00:03.7729531, 00:00:07.0808837
1, parallel-main, Platformer,1,1000,506683626,1,4,10,10,0, 00:00:03.0234141, 00:00:07.7642103
1, parallel-propagate, Skyline,1,1000,506683626,2,1,10,10,0, 00:00:05.7046264, 00:00:13.7319241
1, parallel-propagate, Flowers,1,1000,506683626,2,1,10,10,0, 00:00:36.1172874, 00:01:04.5126720
1, parallel-propagate, Platformer,1,1000,506683626,2,1,10,10,0, 00:00:03.4374091, 00:00:09.6290814
1, parallel-main, Skyline,1,1000,506683626,1,2,10,10,0, 00:00:05.5551356, 00:00:13.1056642
1, parallel-main, Flowers,1,1000,506683626,1,2,10,10,0, 00:00:04.0049041, 00:00:07.7879186
1, parallel-main, Platformer,1,1000,506683626,1,2,10,10,0, 00:00:02.9262567, 00:00:07.5814336
1, parallel-propagate, Skyline,1,1000,506683626,1,1,10,10,0, 00:00:05.8451681, 00:00:13.5743456
1, parallel-propagate, Flowers,1,1000,506683626,1,1,10,10,0, 00:00:36.2259581, 00:01:04.6272416
1, parallel-propagate, Platformer,1,1000,506683626,1,1,10,10,0, 00:00:03.4298752, 00:00:09.6337352
1, parallel-main, Skyline,1,1000,506683626,1,1,10,10,0, 00:00:05.5700984, 00:00:12.9704969
1, parallel-main, Flowers,1,1000,506683626,1,1,10,10,0, 00:00:35.4842521, 00:01:03.2996366
1, parallel-main, Platformer,1,1000,506683626,1,1,10,10,0, 00:00:03.4429392, 00:00:09.6444537
1, sequential-main, Skyline,1,1000,506683626,1,1,10,10,0, 00:00:05.3533986, 00:00:12.6964153
1, sequential-main, Flowers,1,1000,506683626,1,1,10,10,0, 00:00:35.9763782, 00:01:03.8622827
1, sequential-main, Platformer,1,1000,506683626,1,1,10,10,0, 00:00:03.3043331, 00:00:09.5147251
2, parallel-propagate, Skyline,1,1000,1623525913,8,1,10,10,0, 00:00:04.7532979, 00:00:10.0308498
2, parallel-propagate, Flowers,1,1000,1623525913,8,1,10,10,0, 00:00:03.4489039, 00:00:06.1341796
2, parallel-propagate, Platformer,1,1000,1623525913,8,1,10,10,0, 00:00:02.8302916, 00:00:07.3868030
2, parallel-main, Skyline,1,1000,1623525913,1,8,10,10,0, 00:00:07.3150140, 00:00:16.4863687
2, parallel-main, Flowers,1,1000,1623525913,1,8,10,10,0, 00:00:05.6322793, 00:00:10.0356897
2, parallel-main, Platformer,1,1000,1623525913,1,8,10,10,0, 00:00:03.5979687, 00:00:08.7047199
2, parallel-propagate, Skyline,1,1000,1623525913,4,1,10,10,0, 00:00:05.2607492, 00:00:12.9565812
2, parallel-propagate, Flowers,1,1000,1623525913,4,1,10,10,0, 00:00:03.4638466, 00:00:06.1272938
2, parallel-propagate, Platformer,1,1000,1623525913,4,1,10,10,0, 00:00:02.9557305, 00:00:07.5645315
2, parallel-main, Skyline,1,1000,1623525913,1,4,10,10,0, 00:00:04.8822450, 00:00:10.5612309
2, parallel-main, Flowers,1,1000,1623525913,1,4,10,10,0, 00:00:03.8784256, 00:00:07.0545433
2, parallel-main, Platformer,1,1000,1623525913,1,4,10,10,0, 00:00:02.6814216, 00:00:06.2814478
2, parallel-propagate, Skyline,1,1000,1623525913,2,1,10,10,0, 00:00:04.8373930, 00:00:10.3191130
2, parallel-propagate, Flowers,1,1000,1623525913,2,1,10,10,0, 00:00:03.4783084, 00:00:06.1467331
2, parallel-propagate, Platformer,1,1000,1623525913,2,1,10,10,0, 00:00:02.8106462, 00:00:07.3613906
2, parallel-main, Skyline,1,1000,1623525913,1,2,10,10,0, 00:00:04.4757057, 00:00:09.5455893
2, parallel-main, Flowers,1,1000,1623525913,1,2,10,10,0, 00:00:03.5870300, 00:00:06.3727727
2, parallel-main, Platformer,1,1000,1623525913,1,2,10,10,0, 00:00:02.1925700, 00:00:05.1060748
2, parallel-propagate, Skyline,1,1000,1623525913,1,1,10,10,0, 00:00:04.7931151, 00:00:10.1267124
2, parallel-propagate, Flowers,1,1000,1623525913,1,1,10,10,0, 00:00:03.4641223, 00:00:06.1378826
2, parallel-propagate, Platformer,1,1000,1623525913,1,1,10,10,0, 00:00:02.9299049, 00:00:07.5635216
2, parallel-main, Skyline,1,1000,1623525913,1,1,10,10,0, 00:00:04.7939302, 00:00:10.1024368
2, parallel-main, Flowers,1,1000,1623525913,1,1,10,10,0, 00:00:03.4577757, 00:00:06.1315912
2, parallel-main, Platformer,1,1000,1623525913,1,1,10,10,0, 00:00:02.9412926, 00:00:07.5263752
2, sequential-main, Skyline,1,1000,1623525913,1,1,10,10,0, 00:00:04.7905497, 00:00:10.0991301
2, sequential-main, Flowers,1,1000,1623525913,1,1,10,10,0, 00:00:03.3972300, 00:00:06.0616331
2, sequential-main, Platformer,1,1000,1623525913,1,1,10,10,0, 00:00:02.9579792, 00:00:07.5543441
3, parallel-propagate, Skyline,1,1000,2344573,8,1,10,10,0, 00:00:05.4555864, 00:00:12.3984847
3, parallel-propagate, Flowers,1,1000,2344573,8,1,10,10,0, 00:00:03.7878106, 00:00:07.0963078
3, parallel-propagate, Platformer,1,1000,2344573,8,1,10,10,0, 00:00:02.6343421, 00:00:06.8553828
3, parallel-main, Skyline,1,1000,2344573,1,8,10,10,0, 00:00:07.4981747, 00:00:16.6630268
3, parallel-main, Flowers,1,1000,2344573,1,8,10,10,0, 00:00:05.7179679, 00:00:10.4566347
3, parallel-main, Platformer,1,1000,2344573,1,8,10,10,0, 00:00:02.9950615, 00:00:08.0309548
3, parallel-propagate, Skyline,1,1000,2344573,4,1,10,10,0, 00:00:07.1648610, 00:00:19.8809128
3, parallel-propagate, Flowers,1,1000,2344573,4,1,10,10,0, 00:00:03.8743107, 00:00:07.4200188
3, parallel-propagate, Platformer,1,1000,2344573,4,1,10,10,0, 00:00:02.9488908, 00:00:07.6951259
3, parallel-main, Skyline,1,1000,2344573,1,4,10,10,0, 00:00:07.4575926, 00:00:17.8895294
3, parallel-main, Flowers,1,1000,2344573,1,4,10,10,0, 00:00:04.6303268, 00:00:08.6184760
3, parallel-main, Platformer,1,1000,2344573,1,4,10,10,0, 00:00:02.9736728, 00:00:07.9004277
3, parallel-propagate, Skyline,1,1000,2344573,2,1,10,10,0, 00:00:05.7516094, 00:00:13.6636903
3, parallel-propagate, Flowers,1,1000,2344573,2,1,10,10,0, 00:00:03.9044970, 00:00:07.5514634
3, parallel-propagate, Platformer,1,1000,2344573,2,1,10,10,0, 00:00:02.7981467, 00:00:07.4405761
3, parallel-main, Skyline,1,1000,2344573,1,2,10,10,0, 00:00:06.1516349, 00:00:13.9799327
3, parallel-main, Flowers,1,1000,2344573,1,2,10,10,0, 00:00:03.6775136, 00:00:06.6705190
3, parallel-main, Platformer,1,1000,2344573,1,2,10,10,0, 00:00:02.0863590, 00:00:05.2964610
3, parallel-propagate, Skyline,1,1000,2344573,1,1,10,10,0, 00:00:05.3794380, 00:00:12.3335389
3, parallel-propagate, Flowers,1,1000,2344573,1,1,10,10,0, 00:00:03.8452185, 00:00:07.1809852
3, parallel-propagate, Platformer,1,1000,2344573,1,1,10,10,0, 00:00:02.6582868, 00:00:06.9086408
3, parallel-main, Skyline,1,1000,2344573,1,1,10,10,0, 00:00:05.4177898, 00:00:12.3466377
3, parallel-main, Flowers,1,1000,2344573,1,1,10,10,0, 00:00:03.8350342, 00:00:07.2192041
3, parallel-main, Platformer,1,1000,2344573,1,1,10,10,0, 00:00:02.6507016, 00:00:06.8758938
3, sequential-main, Skyline,1,1000,2344573,1,1,10,10,0, 00:00:05.4127483, 00:00:12.3795883
3, sequential-main, Flowers,1,1000,2344573,1,1,10,10,0, 00:00:03.8268864, 00:00:07.1608971
3, sequential-main, Platformer,1,1000,2344573,1,1,10,10,0, 00:00:02.6702579, 00:00:06.9490565
4, parallel-propagate, Skyline,1,1000,1485571032,8,1,10,10,0, 00:00:05.9820239, 00:00:13.9332530
4, parallel-propagate, Flowers,1,1000,1485571032,8,1,10,10,0, 00:00:03.7034852, 00:00:06.1035788
4, parallel-propagate, Platformer,1,1000,1485571032,8,1,10,10,0, 00:00:02.2332363, 00:00:05.4517762
4, parallel-main, Skyline,1,1000,1485571032,1,8,10,10,0, 00:00:07.7561654, 00:00:17.4041027
4, parallel-main, Flowers,1,1000,1485571032,1,8,10,10,0, 00:00:05.8395175, 00:00:09.5580573
4, parallel-main, Platformer,1,1000,1485571032,1,8,10,10,0, 00:00:03.5286436, 00:00:10.0846264
4, parallel-propagate, Skyline,1,1000,1485571032,4,1,10,10,0, 00:00:06.3736282, 00:00:15.7673388
4, parallel-propagate, Flowers,1,1000,1485571032,4,1,10,10,0, 00:00:03.7222922, 00:00:06.1303801
4, parallel-propagate, Platformer,1,1000,1485571032,4,1,10,10,0, 00:00:02.2289289, 00:00:05.4488865
4, parallel-main, Skyline,1,1000,1485571032,1,4,10,10,0, 00:00:05.3613626, 00:00:11.4000519
4, parallel-main, Flowers,1,1000,1485571032,1,4,10,10,0, 00:00:05.1411383, 00:00:08.1890739
4, parallel-main, Platformer,1,1000,1485571032,1,4,10,10,0, 00:00:02.1906460, 00:00:05.6860646
4, parallel-propagate, Skyline,1,1000,1485571032,2,1,10,10,0, 00:00:06.0173678, 00:00:14.0737586
4, parallel-propagate, Flowers,1,1000,1485571032,2,1,10,10,0, 00:00:03.7159084, 00:00:06.1544015
4, parallel-propagate, Platformer,1,1000,1485571032,2,1,10,10,0, 00:00:02.1555914, 00:00:05.4088274
4, parallel-main, Skyline,1,1000,1485571032,1,2,10,10,0, 00:00:05.9567776, 00:00:14.1102061
4, parallel-main, Flowers,1,1000,1485571032,1,2,10,10,0, 00:00:03.4578266, 00:00:05.5936664
4, parallel-main, Platformer,1,1000,1485571032,1,2,10,10,0, 00:00:02.3052032, 00:00:05.6913126
4, parallel-propagate, Skyline,1,1000,1485571032,1,1,10,10,0, 00:00:06.0188351, 00:00:13.9497576
4, parallel-propagate, Flowers,1,1000,1485571032,1,1,10,10,0, 00:00:03.7434247, 00:00:06.1946267
4, parallel-propagate, Platformer,1,1000,1485571032,1,1,10,10,0, 00:00:02.1968190, 00:00:05.4381705
4, parallel-main, Skyline,1,1000,1485571032,1,1,10,10,0, 00:00:06.0301919, 00:00:13.9954770
4, parallel-main, Flowers,1,1000,1485571032,1,1,10,10,0, 00:00:03.7109214, 00:00:06.1188608
4, parallel-main, Platformer,1,1000,1485571032,1,1,10,10,0, 00:00:02.2185221, 00:00:05.4347980
4, sequential-main, Skyline,1,1000,1485571032,1,1,10,10,0, 00:00:06.0118009, 00:00:13.9359310
4, sequential-main, Flowers,1,1000,1485571032,1,1,10,10,0, 00:00:03.7239654, 00:00:06.1498235
